t_s,rpm,u1_suction,u2_circ,u3_inlet,Q_Nm3h,p_disch_kPa,T_disch_C,p_suction_kPa,T_suction_C,vib_um
119,6283,22.7,77.3,28.3,623.3,171.60,36.42,101.07,25.25,6.42
120,6286,22.9,77.1,28.6,621.6,171.42,37.90,100.83,24.50,7.80
121,6288,23.0,77.0,28.8,614.0,170.75,38.82,100.90,25.18,6.97
122,6290,23.2,76.8,29.0,626.9,171.10,35.67,101.32,23.91,6.09
123,6293,23.4,76.6,29.3,630.3,172.67,36.76,102.08,24.71,7.38
124,6295,23.6,76.4,29.5,624.9,171.18,38.59,101.13,26.10,6.68
125,6298,23.8,76.2,29.8,636.3,171.37,36.10,101.53,24.88,6.82
126,6300,24.0,76.0,30.0,621.6,171.77,36.80,101.60,24.53,7.63
127,6302,24.2,75.8,30.2,633.0,171.72,39.59,101.88,24.85,5.81
128,6305,24.4,75.6,30.5,614.0,170.84,38.56,100.56,24.91,5.13
129,6307,24.6,75.4,30.7,624.0,171.44,36.95,101.07,24.55,6.32
130,6310,24.8,75.2,31.0,625.0,171.44,39.68,100.96,25.29,6.65
131,6312,25.0,75.0,31.2,621.7,171.69,35.78,101.32,24.97,7.28
132,6314,25.1,74.9,31.4,629.6,170.96,38.10,100.92,25.58,7.76
133,6317,25.3,74.7,31.7,627.3,170.86,37.16,100.62,25.38,6.43
134,6319,25.5,74.5,31.9,632.0,171.55,36.97,101.23,24.84,5.54
135,6321,25.7,74.3,32.1,619.4,172.04,35.25,100.98,24.42,7.82
136,6324,25.9,74.1,32.4,628.6,171.95,35.58,101.05,24.84,7.23
137,6326,26.1,73.9,32.6,623.6,172.77,37.28,101.81,26.52,7.12
138,6329,26.3,73.7,32.9,618.0,172.84,37.19,101.76,25.38,6.70
139,6331,26.5,73.5,33.1,637.4,173.02,38.75,101.98,24.87,7.61
140,6333,26.7,73.3,33.3,625.4,171.38,38.29,100.65,25.10,7.74
141,6336,26.9,73.1,33.6,637.1,173.01,39.17,101.35,25.35,7.17
142,6338,27.0,73.0,33.8,638.4,173.10,37.35,102.02,25.61,7.54
143,6340,27.2,72.8,34.0,645.4,172.43,36.49,101.00,24.66,7.20
144,6343,27.4,72.6,34.3,630.0,172.86,37.54,101.42,24.63,6.51
145,6345,27.6,72.4,34.5,642.2,172.83,38.30,101.63,25.73,7.11
146,6348,27.8,72.2,34.8,634.9,171.85,38.97,101.04,25.65,5.94
147,6350,28.0,72.0,35.0,628.4,172.98,36.78,101.14,24.64,6.70
148,6352,28.2,71.8,35.2,625.6,171.96,35.40,101.02,24.48,6.36
149,6355,28.4,71.6,35.5,633.3,172.31,37.82,101.09,24.39,7.24
150,6357,28.6,71.4,35.7,632.3,173.07,38.56,101.11,25.12,5.73
151,6360,28.8,71.2,36.0,630.4,171.83,37.25,100.43,25.19,7.61
152,6362,29.0,71.0,36.2,636.6,172.65,38.26,101.53,24.87,7.63
153,6364,29.1,70.9,36.4,635.6,173.59,34.36,102.08,24.77,8.38
154,6367,29.3,70.7,36.7,641.1,172.92,38.65,100.83,25.62,6.47
155,6369,29.5,70.5,36.9,641.8,172.44,35.88,101.05,25.52,7.69
156,6371,29.7,70.3,37.1,641.6,174.02,35.89,102.12,23.97,7.40
157,6374,29.9,70.1,37.4,651.7,172.96,38.93,101.69,24.84,8.30
158,6376,30.1,69.9,37.6,645.6,173.38,40.24,101.14,25.86,7.82
159,6379,30.3,69.7,37.9,637.1,172.51,38.03,100.98,25.49,7.38
160,6381,30.5,69.5,38.1,640.8,173.23,37.53,101.14,24.49,7.55
161,6383,30.7,69.3,38.3,647.4,173.30,38.19,101.00,25.94,8.16
162,6386,30.9,69.1,38.6,645.3,172.13,38.60,100.24,24.68,7.54
163,6388,31.0,69.0,38.8,641.9,173.46,36.15,101.55,24.63,7.34
164,6390,31.2,68.8,39.0,647.7,173.38,39.55,101.37,25.45,8.38
165,6393,31.4,68.6,39.3,654.7,173.86,37.53,101.37,25.30,8.24
166,6395,31.6,68.4,39.5,648.1,174.44,38.68,102.09,25.16,7.47
167,6398,31.8,68.2,39.8,650.3,173.58,39.11,101.25,25.88,7.53
168,6400,32.0,68.0,40.0,663.3,173.89,36.54,101.36,24.97,7.48
169,6402,32.2,67.8,40.2,697.7,173.52,39.41,101.38,25.46,7.68
170,6405,32.4,67.6,40.5,725.5,173.42,37.33,101.47,24.45,7.73
171,6407,32.6,67.4,40.7,752.1,173.54,36.56,100.90,24.77,7.73
172,6410,32.8,67.2,41.0,774.0,174.63,38.83,101.78,25.37,7.04
173,6412,33.0,67.0,41.2,806.8,174.28,37.30,100.71,24.46,7.34
174,6414,33.1,66.9,41.4,831.1,173.26,35.93,101.07,24.50,7.50
175,6417,33.3,66.7,41.7,866.6,173.90,38.93,101.03,24.71,7.35
176,6419,33.5,66.5,41.9,890.9,173.83,38.40,100.77,24.80,7.79
177,6421,33.7,66.3,42.1,909.5,174.18,39.92,101.39,25.67,7.90
178,6424,33.9,66.1,42.4,959.4,173.62,38.55,100.86,24.88,7.08
179,6426,34.1,65.9,42.6,970.8,173.71,34.80,101.30,24.76,7.18
180,6429,34.3,65.7,42.9,1016.4,174.03,37.24,101.06,24.80,8.54
181,6431,34.5,65.5,43.1,1009.1,174.34,36.37,100.84,24.19,8.57
182,6433,34.7,65.3,43.3,1051.7,174.32,37.88,101.53,24.93,8.68
183,6436,34.9,65.1,43.6,1089.4,174.68,37.07,101.27,24.87,7.64
184,6438,35.0,65.0,43.8,1114.5,174.64,38.35,101.65,24.78,7.59
185,6440,35.2,64.8,44.0,1158.1,174.41,38.33,101.29,24.60,7.05
186,6443,35.4,64.6,44.3,1186.6,174.38,38.55,101.39,25.14,8.17
187,6445,35.6,64.4,44.5,1204.7,174.37,36.74,101.15,24.70,7.28
188,6448,35.8,64.2,44.8,1216.9,174.64,38.27,101.31,24.63,7.44
189,6450,36.0,64.0,45.0,1258.5,174.69,38.69,101.24,24.46,8.26
190,6452,36.2,63.8,45.2,1287.4,175.09,39.30,101.35,24.98,8.76
191,6455,36.4,63.6,45.5,1294.2,175.37,36.73,101.48,24.83,8.32
192,6457,36.6,63.4,45.7,1330.6,175.96,38.42,102.02,25.09,8.84
193,6460,36.8,63.2,46.0,1373.7,174.39,36.93,100.84,24.87,7.89
194,6462,37.0,63.0,46.2,1397.5,175.24,36.05,100.97,24.30,8.04
195,6464,37.1,62.9,46.4,1436.6,175.12,37.00,101.47,24.48,7.41
196,6467,37.3,62.7,46.7,1469.1,175.23,39.84,101.11,25.29,8.37
197,6469,37.5,62.5,46.9,1476.4,175.39,35.98,101.61,24.87,8.02
198,6471,37.7,62.3,47.1,1507.3,175.61,36.43,101.46,24.32,7.65
199,6474,37.9,62.1,47.4,1555.0,175.06,36.33,101.37,25.02,6.58
200,6476,38.1,61.9,47.6,1566.3,174.70,35.94,100.78,24.29,7.64
201,6479,38.3,61.7,47.9,1608.2,175.97,39.12,101.69,24.87,8.56
202,6481,38.5,61.5,48.1,1645.6,175.64,40.03,101.14,25.88,8.97
203,6483,38.7,61.3,48.3,1649.6,175.56,37.75,101.64,24.44,6.91
204,6486,38.9,61.1,48.6,1705.7,175.74,37.02,101.65,25.27,7.63
205,6488,39.0,61.0,48.8,1740.1,175.82,40.79,101.38,25.85,7.41
206,6490,39.2,60.8,49.0,1754.4,175.45,39.69,101.05,25.01,7.27
207,6493,39.4,60.6,49.3,1796.0,176.20,39.50,101.51,24.89,7.54
208,6495,39.6,60.4,49.5,1791.4,175.52,38.83,101.44,25.20,7.76
209,6498,39.8,60.2,49.8,1854.9,175.32,37.91,101.20,25.85,7.59
210,6500,40.0,60.0,50.0,1878.9,176.35,38.81,101.53,25.76,7.37
211,6500,40.0,60.0,50.0,1837.6,176.12,39.28,101.62,24.37,8.35
212,6500,40.0,60.0,50.0,1847.6,175.78,36.84,101.61,24.76,7.62
213,6500,40.0,60.0,50.0,1856.2,175.87,39.33,101.05,25.15,8.66
214,6500,40.0,60.0,50.0,1882.1,176.09,40.36,101.33,25.85,8.83
215,6500,40.0,60.0,50.0,1853.3,175.79,39.12,101.72,25.44,8.03
216,6500,40.0,60.0,50.0,1852.7,175.85,37.05,101.13,25.42,8.13
217,6500,40.0,60.0,50.0,1868.4,175.64,37.47,100.92,24.84,7.54
218,6500,40.0,60.0,50.0,1843.6,175.57,37.79,101.30,24.58,8.24
219,6500,40.0,60.0,50.0,1866.8,175.85,38.66,101.50,26.36,7.53
220,6500,40.0,60.0,50.0,1853.5,175.79,38.86,100.94,25.90,8.10
221,6500,40.0,60.0,50.0,1884.8,176.33,37.79,101.30,25.45,8.93
222,6500,40.0,60.0,50.0,1857.3,175.90,37.51,101.49,25.03,8.28
223,6500,40.0,60.0,50.0,1866.7,175.28,39.82,100.41,25.10,7.92
224,6500,40.0,60.0,50.0,1866.3,176.46,42.43,101.75,25.14,7.90
225,6500,40.0,60.0,50.0,1874.8,176.35,36.19,101.99,24.48,8.32
226,6500,40.0,60.0,50.0,1863.8,175.79,40.37,101.60,25.50,7.94
227,6500,40.0,60.0,50.0,1840.6,176.28,37.45,101.57,25.32,7.90
228,6500,40.0,60.0,50.0,1879.1,176.31,38.73,101.55,24.95,7.07
229,6500,40.0,60.0,50.0,1865.5,175.75,38.08,101.11,25.56,8.72
230,6500,40.0,60.0,50.0,1882.5,176.08,38.52,101.31,24.38,8.04
231,6500,40.0,60.0,50.0,1859.5,175.70,38.54,101.21,25.18,7.30
232,6500,40.0,60.0,50.0,1823.6,176.38,38.85,101.81,24.56,6.89
233,6500,40.0,60.0,50.0,1837.1,175.95,37.47,101.30,25.11,7.91
234,6500,40.0,60.0,50.0,1853.4,175.50,38.67,101.39,24.93,6.95
235,6500,40.0,60.0,50.0,1838.1,176.68,38.08,101.62,24.25,7.26
236,6500,40.0,60.0,50.0,1866.5,176.74,38.29,101.94,24.60,8.39
237,6500,40.0,60.0,50.0,1859.3,176.98,36.58,102.20,23.50,7.56
238,6500,40.0,60.0,50.0,1850.6,175.71,39.52,101.31,24.46,8.36
239,6500,40.0,60.0,50.0,1851.8,176.37,37.80,101.57,25.63,8.47
240,6500,40.0,60.0,50.0,1859.1,176.30,37.33,101.76,23.86,6.93
241,6500,40.0,60.0,50.0,1858.5,175.76,36.35,101.28,24.26,7.49
242,6500,40.0,60.0,50.0,1875.9,176.63,39.72,101.82,24.76,7.18
243,6500,40.0,60.0,50.0,1863.0,175.90,37.93,101.23,25.32,8.48
244,6500,40.0,60.0,50.0,1888.5,176.77,39.84,102.26,25.63,7.30
245,6500,40.0,60.0,50.0,1858.3,174.81,40.14,100.88,25.43,8.03
246,6500,40.0,60.0,50.0,1852.7,176.75,38.98,101.93,24.67,7.25
247,6500,40.0,60.0,50.0,1852.9,174.82,39.31,100.88,24.41,7.34
248,6500,40.0,60.0,50.0,1841.3,175.69,39.02,100.84,25.00,7.94
249,6500,40.0,60.0,50.0,1883.8,175.76,39.33,100.91,24.97,6.10
250,6500,40.0,60.0,50.0,1846.8,176.35,38.21,101.10,24.74,8.40
251,6500,40.0,60.0,50.0,1849.7,176.05,40.02,101.65,25.64,8.30
252,6500,40.0,60.0,50.0,1839.5,175.91,36.75,101.22,23.98,8.56
253,6500,40.0,60.0,50.0,1871.8,176.22,37.21,101.81,25.16,8.29
254,6500,40.0,60.0,50.0,1887.8,176.76,39.31,101.75,25.63,7.26
255,6500,40.0,60.0,50.0,1863.1,175.25,39.33,100.78,25.37,8.96
256,6500,40.0,60.0,50.0,1858.5,175.14,38.09,100.62,25.09,8.85
257,6500,40.0,60.0,50.0,1837.0,175.47,39.89,100.73,24.43,8.16
258,6500,40.0,60.0,50.0,1866.4,177.04,38.51,101.73,24.00,8.29
259,6500,40.0,60.0,50.0,1899.6,176.18,39.77,101.44,24.65,7.19
260,6500,40.0,60.0,50.0,1860.1,176.15,40.13,101.91,25.00,7.71
261,6500,40.0,60.0,50.0,1859.3,176.09,38.11,101.14,24.70,8.32
262,6500,40.0,60.0,50.0,1849.6,175.15,36.25,100.95,24.24,6.97
263,6500,40.0,60.0,50.0,1837.3,176.04,36.79,101.42,24.59,7.40
264,6500,40.0,60.0,50.0,1908.4,175.62,37.75,100.81,24.30,7.63
265,6500,40.0,60.0,50.0,1866.0,175.24,37.34,100.58,24.83,8.19
266,6500,40.0,60.0,50.0,1890.5,175.60,40.19,100.87,25.19,7.63
267,6500,40.0,60.0,50.0,1880.5,175.23,38.59,101.22,25.26,7.47
268,6500,40.0,60.0,50.0,1872.0,176.02,39.29,101.11,24.96,8.41
269,6500,40.0,60.0,50.0,1877.1,175.76,40.84,100.89,25.01,8.29
270,6500,40.0,60.0,50.0,1861.1,175.47,37.07,100.99,25.05,7.30
271,6500,40.0,60.0,50.0,1860.5,175.93,38.51,101.27,25.56,8.41
272,6500,40.0,60.0,50.0,1845.8,175.90,37.47,101.22,23.97,7.62
273,6500,40.0,60.0,50.0,1831.8,175.01,38.53,100.55,24.06,7.86
274,6500,40.0,60.0,50.0,1860.8,175.86,37.79,101.03,24.70,7.78
275,6500,40.0,60.0,50.0,1854.7,175.21,41.69,100.62,24.72,7.87
276,6500,40.0,60.0,50.0,1851.5,176.25,37.51,101.70,25.13,8.93
277,6500,40.0,60.0,50.0,1875.9,176.39,38.28,101.45,24.85,8.35
278,6500,40.0,60.0,50.0,1885.8,175.52,37.06,100.86,24.53,7.61
279,6500,40.0,60.0,50.0,1893.1,177.32,37.39,101.94,24.97,7.42
280,6500,40.0,60.0,50.0,1883.7,175.19,40.24,100.68,24.72,7.39
281,6500,40.0,60.0,50.0,1859.1,176.37,36.81,101.83,25.23,7.95
282,6500,40.0,60.0,50.0,1849.2,174.99,36.57,100.27,25.18,7.15
283,6500,40.0,60.0,50.0,1854.3,175.60,36.74,101.09,24.52,8.18
284,6500,40.0,60.0,50.0,1865.1,175.79,38.47,101.26,25.23,8.52
285,6500,40.0,60.0,50.0,1845.0,176.63,38.80,101.66,24.27,9.07
286,6500,40.0,60.0,50.0,1887.6,175.78,39.27,101.29,25.22,7.60
287,6500,40.0,60.0,50.0,1877.7,175.52,41.28,100.96,25.51,7.69
288,6500,40.0,60.0,50.0,1855.4,175.51,36.50,101.39,24.52,7.70
289,6500,40.0,60.0,50.0,1877.9,176.29,41.82,101.31,25.21,7.85
290,6500,40.0,60.0,50.0,1849.7,176.52,39.25,101.47,24.81,8.98
291,6500,40.0,60.0,50.0,1858.9,176.02,37.16,101.27,24.78,9.10
292,6500,40.0,60.0,50.0,1846.4,176.44,39.28,101.99,24.90,7.88
293,6500,40.0,60.0,50.0,1852.7,175.69,38.20,101.01,24.67,6.65
294,6500,40.0,60.0,50.0,1890.9,175.67,36.87,101.23,24.50,8.04
295,6500,40.0,60.0,50.0,1854.7,175.26,39.32,100.74,25.49,7.94
296,6500,40.0,60.0,50.0,1887.2,175.87,36.48,101.31,23.91,6.83
297,6500,40.0,60.0,50.0,1887.4,175.99,41.77,101.63,25.40,7.63
298,6500,40.0,60.0,50.0,1820.0,175.97,37.21,101.45,24.45,7.76
299,6500,40.0,60.0,50.0,1832.3,176.02,38.15,101.51,25.23,9.80
300,6500,40.0,60.0,50.0,1846.1,175.74,38.42,100.93,26.18,9.10
301,6500,40.0,60.0,50.0,1917.8,176.44,41.68,101.82,26.11,7.61
302,6500,40.0,60.0,50.0,1865.6,175.36,38.45,100.85,25.90,7.62
303,6500,40.0,60.0,50.0,1891.2,176.20,38.29,101.48,24.63,8.38
304,6500,40.0,60.0,50.0,1831.9,175.65,37.70,101.43,25.01,8.79
305,6500,40.0,60.0,50.0,1872.6,175.80,39.99,101.52,25.64,8.13
306,6500,40.0,60.0,50.0,1816.9,175.97,39.28,101.17,24.98,8.04
307,6500,40.0,60.0,50.0,1856.9,176.15,39.28,101.09,25.73,7.92
308,6500,40.0,60.0,50.0,1845.4,176.33,38.73,101.55,24.51,8.74
309,6500,40.0,60.0,50.0,1854.5,175.96,38.28,101.23,25.36,7.68
310,6500,40.0,60.0,50.0,1875.0,176.18,36.78,101.45,24.99,7.35
311,6500,40.0,60.0,50.0,1894.4,175.48,37.52,100.81,24.82,8.02
312,6500,40.0,60.0,50.0,1874.5,175.93,38.31,101.42,24.26,8.68
313,6500,40.0,60.0,50.0,1876.6,176.51,37.72,101.77,24.35,8.31
314,6500,40.0,60.0,50.0,1875.2,175.68,40.14,101.10,25.18,8.60
315,6500,40.0,60.0,50.0,1870.5,175.75,37.77,101.46,24.45,8.62
316,6500,40.0,60.0,50.0,1838.7,175.67,39.04,101.52,24.27,7.98
317,6500,40.0,60.0,50.0,1860.3,176.33,41.40,101.65,26.48,8.21
318,6500,40.0,60.0,50.0,1811.8,175.96,38.82,101.39,24.28,8.16
319,6500,40.0,60.0,50.0,1833.5,175.40,38.87,101.05,25.49,8.89
320,6500,40.0,60.0,50.0,1849.0,175.79,36.83,100.87,24.67,7.68
321,6500,40.0,60.0,50.0,1864.7,176.45,37.29,101.52,24.21,8.01
322,6500,40.0,60.0,50.0,1856.2,176.27,36.80,101.63,24.71,6.91
323,6500,40.0,60.0,50.0,1854.1,176.18,41.03,101.31,24.81,7.95
324,6500,40.0,60.0,50.0,1864.4,175.76,36.06,101.45,25.10,8.41
325,6500,40.0,60.0,50.0,1872.4,176.03,36.71,101.38,24.36,8.94
326,6500,40.0,60.0,50.0,1870.8,175.79,40.98,101.06,25.20,8.67
327,6500,40.0,60.0,50.0,1847.1,176.25,37.33,101.12,24.95,7.27
328,6500,40.0,60.0,50.0,1878.6,175.98,40.27,101.15,25.46,8.09
329,6500,40.0,60.0,50.0,1849.2,177.08,37.42,102.20,25.80,7.55
330,6500,40.0,60.0,50.0,1847.2,174.85,38.48,100.23,25.70,8.12
331,6500,40.0,60.0,50.0,1869.2,175.79,39.24,101.10,24.40,6.85
332,6500,40.0,60.0,50.0,1844.5,176.15,36.31,101.10,25.38,6.55
333,6500,40.0,60.0,50.0,1829.6,175.64,39.25,101.10,25.02,7.18
